alegra_id,codigo,referencia,nombre,precio_actual_shopify,precio_mayoristas_con_iva,precio_general_con_iva,diferencia_vs_mayorista,situacion,otras_listas_con_iva
648,6971626273298,6971626273298,Contorno Facial En Barra Tono #02 Avellana Tostada Alma Beauty,17143,204000,408001.02,-186857,POR DEBAJO del mayorista (-186857),Lista Subdistribuidor PC=0; Lista Caribe Supermercados=0; clientespremium=7947.5
660,6971626273335,6971626273335,Cera Moldeadora Y Fijadora Para El Cabello Y Cejas Pink Alma Beauty,8572,192000,191999.99,-183428,POR DEBAJO del mayorista (-183428),Lista Subdistribuidor PC=0; Lista Caribe Supermercados=0; clientespremium=7479.99
107,7707197602743,7707197602743,Set X3 Borlas Alma Beauty,4143,73600.31,92001.28,-69457.31,POR DEBAJO del mayorista (-69457.31),Lista Subdistribuidor PC=73600.31; Lista Caribe Supermercados=78751.82
1757,7704577003374,7704577003374,Pack Pestañinas Surtidas X16Unds Vogue,222498.47,261762.91,261762.91,-39264.44,POR DEBAJO del mayorista (-39264.44),clientespremium=261762.91
1047,7897042016419,7897042016419,Cepillo Facial Pantera Celeste,2517,27500,39285.71,-24983,POR DEBAJO del mayorista (-24983),Lista Subdistribuidor PC=24750; clientespremium=26675; Lista Supermercados=31428.57
1301,6971626276206,6971626276206,Depilador Cejas,4176,26000,26000,-21824,POR DEBAJO del mayorista (-21824),clientespremium=26000; Lista el SI=26000
1011,7509552932430,7509552932430,DoyPack Onduladas HD 100G Ponto,4550,23090,17874.73,-18540,POR DEBAJO del mayorista (-18540),clientespremium=22512.75; Lista el SI=17874.73
1570,7501438311872,7501438311872,Pestañas Inspiradora Pantera Celeste,3325.9,20378.36,29111.95,-17052.46,POR DEBAJO del mayorista (-17052.46),Lista Subdistribuidor PC=18340.53; Lista Caribe Supermercados=21397.28; clientespremium=19767.01
208,7709990871043,7709990871043,Pestañas Valiente Pantera Celeste,5000,20825,0,-15825,POR DEBAJO del mayorista (-15825),Lista Caribe Supermercados=22282.75
1481,7900083011869,7900083011869,Lápiz Delineador Goji Berry ATENEA,8587,21193.33,21193.33,-12606.33,POR DEBAJO del mayorista (-12606.33),clientespremium=21193.33
1881,MINTAFFY,MINTAFFY,Pestañas Salsera Pantera Celeste,5000,15946.67,24900,-10946.67,POR DEBAJO del mayorista (-10946.67),Lista Subdistribuidor PC=14352; Lista Caribe Supermercados=16744; clientespremium=15468.27
2542,11405,11405,DoyPack Afro HD 100G Ponto,4550,15333.34,19166.68,-10783.34,POR DEBAJO del mayorista (-10783.34),clientespremium=14873.34; Lista Subdistribuidor PC=13800.01; Lista Caribe Supermercados=16100.01
726,3600542081160,3600542081160,Agua Micelar Todo en 1 100ml Garnier,12,10480,15647.29,-10468,POR DEBAJO del mayorista (-10468),Lista Caribe Supermercados=10613.88; clientespremium=10217.99; Lista el SI=10613.88; Lista Supermercados=10613.88
1300,6971626275650,6971626275650,Cushion Foundation #1 True Lover,15983.63,26000,26000,-10016.37,POR DEBAJO del mayorista (-10016.37),clientespremium=26000; Lista el SI=26000
1746,6971626277302,6971626277302,Pinzas Para Cabello 3 Piezas Pantera Celeste,3108,12299.99,12299.99,-9191.99,POR DEBAJO del mayorista (-9191.99),clientespremium=12299.99
1287,7702045087895,7702045087895,Pestañas Enamorada Pantera Celeste,3325.9,11826.77,16895.38,-8500.87,POR DEBAJO del mayorista (-8500.87),Lista Subdistribuidor PC=10644.09; Lista Caribe Supermercados=12418.11; clientespremium=11471.97
662,6971626276121,6971626276121,Cortauñas Ergonómico V9,2334,10500,10500,-8166,POR DEBAJO del mayorista (-8166),clientespremium=10500; Lista el SI=10500
345,,,Aro de Luz,35294,41999.86,41999.86,-6705.86,POR DEBAJO del mayorista (-6705.86),Lista Subdistribuidor PC=42001.05; Lista Caribe Supermercados=44940.35
427,7509552789065,7509552789065,Cepillo Para Uñas Con Piedra Pomes 2 En 1 Importados,2948,9520,12205.13,-6572,POR DEBAJO del mayorista (-6572),Lista Subdistribuidor PC=8512; clientespremium=9044; Lista Supermercados=9520
153,7707197601876,7707197601876,Pestañas Soñadora Pantera Celeste,5000,11089.61,14000.35,-6089.61,POR DEBAJO del mayorista (-6089.61),Lista Caribe Supermercados=11865.49
1417,7702186023134,7702186023134,Aceite Capilar De Argán Color 1 Sachet,2593,8100,8100,-5507,POR DEBAJO del mayorista (-5507),clientespremium=8100
1013,7509552788211,7509552788211,Pestañas Rumbera Pantera Celeste,3325.9,8718.32,11177.33,-5392.42,POR DEBAJO del mayorista (-5392.42),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
1152,6971626273984,6971626273984,Pinzas Brillantes Para Cabello Pantera Celeste,3108,8000,8000,-4892,POR DEBAJO del mayorista (-4892),clientespremium=8000; Lista el SI=8000
1152,6971626273984,6971626273984,Pinzas Brillantes Para Cabello Pantera Celeste,3108,8000,8000,-4892,POR DEBAJO del mayorista (-4892),clientespremium=8000; Lista el SI=8000
495,7509552840650,7509552840650,Labial Liquido Resist Natural Vogue,16070.51,20792.12,26656.56,-4721.61,POR DEBAJO del mayorista (-4721.61),Lista Subdistribuidor PC=18590.6; clientespremium=19752.51; Lista Supermercados=20792.12
1726,BC-2403/06,BC-2403/06,Lip Gloss Boom Lips Tono 1 Miis Cosmetics,10986,15499.75,29900,-4513.75,POR DEBAJO del mayorista (-4513.75),Lista Subdistribuidor PC=11922.88; clientespremium=15499.75
519,7509552844016,7509552844016,Corrector 02 Elaya,11734,15989.84,20499.8,-4255.84,POR DEBAJO del mayorista (-4255.84),Lista Subdistribuidor PC=14296.8; clientespremium=15190.35; Lista Supermercados=15989.84
226,7707197602774,7707197602774,Estrella Pinza Para Cabello Pantera Celeste,3108,7259,0,-4151,POR DEBAJO del mayorista (-4151),Lista Caribe Supermercados=7767.13
1151,6971626275780,6971626275780,Brillo Magigo Kiss Glam Alma Beauty,4572,8000,8000,-3428,POR DEBAJO del mayorista (-3428),clientespremium=8000; Lista el SI=8000
591,7509552787047,7509552787047,Colorissimo Extra Brillo Playa Vogue,8806.45,11993.95,15376.86,-3187.5,POR DEBAJO del mayorista (-3187.5),Lista Subdistribuidor PC=10724; clientespremium=11394.25; Lista Supermercados=11993.95
479,7509552786217,7509552786217,Espejo Importados,8598,11591.54,14860.95,-2993.54,POR DEBAJO del mayorista (-2993.54),Lista Subdistribuidor PC=10364.2; clientespremium=11011.96; Lista Supermercados=11591.54
399,7509552825268,7509552825268,Lip Gloss Boom Lips Tono 3 Miis Cosmetics,10986,13953.51,18359.89,-2967.51,POR DEBAJO del mayorista (-2967.51),Lista Subdistribuidor PC=12804.4; clientespremium=13604.68; Lista Supermercados=14320.71
1129,6971626278781,6971626278781,Espejo De Mano 18 Cm Importados,5651,8600,8600,-2949,POR DEBAJO del mayorista (-2949),clientespremium=8600; Lista el SI=8600
1749,6971626275995-1,6971626275995-1,Kit X2 Pulpo Facial + Beauty Blender Alma Beauty,5000,7700,7700,-2700,POR DEBAJO del mayorista (-2700),clientespremium=7700
1267,5012583105091,5012583105091,Laca Fijadora Glued 300ml Got2B,49147,51707.82,73868.31,-2560.82,POR DEBAJO del mayorista (-2560.82),Lista Subdistribuidor PC=46537.04; Lista Caribe Supermercados=54293.21; clientespremium=50156.58
1633,RUBY-12,RUBY-12,Encrespador De Pestañas Metalizado Pantera Celeste,4113.61,6400,9142.77,-2286.39,POR DEBAJO del mayorista (-2286.39),Lista Subdistribuidor PC=4342.01; Lista Caribe Supermercados=6400; clientespremium=6400; Lista el SI=6400; Lista Supermercados=6400; Lista Cañaveral=9029.72
1150,6971626273977,6971626273977,Slim Liquid Eyeliner #3 Grayish Brown True Lover,6086.75,8000,8000,-1913.25,POR DEBAJO del mayorista (-1913.25),clientespremium=8000; Lista el SI=8000
951,6971626276947,6971626276947,Estuche De Bolsillo Maquillaje,5897,7600,7600,-1703,POR DEBAJO del mayorista (-1703),clientespremium=7600; Lista el SI=7600
1168,6971626273489,6971626273489,Brocha Pink Brush Difuminadora De Ojos Alma Beauty,5000,6600,6600,-1600,POR DEBAJO del mayorista (-1600),clientespremium=6600; Lista el SI=6600
1205,7899706187732,7899706187732,Miel Dúo Labios Elaya,10668,11991,12500.95,-1323,POR DEBAJO del mayorista (-1323),Lista Caribe Supermercados=12067.83; clientespremium=11691.23; Lista el SI=12067.83; Lista Supermercados=12067.83
1015,7509552924169,7509552924169,Esmalte Efecto Gel Vibra Latina Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
1012,7509552788181,7509552788181,Esmalte Efecto Gel Alma Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
1012,7509552788181,7509552788181,Esmalte Efecto Gel Alma Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
1235,7509552845532,7509552845532,Esmalte Efecto Gel Infinita Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
1236,7509552807523,7509552807523,Esmalte Efecto Gel Valiente Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
1021,7509552845099,7509552845099,Esmalte Efecto Gel Eterna Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
452,7509552807509,7509552807509,Esmalte Efecto Gel Alegre Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
1239,7509552958294,7509552958294,Esmalte Efecto Gel Crew Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
